,pick1_encoded,pick2_encoded,pick3_encoded,pick4_encoded,pick5_encoded,winrate_pick1,winrate_pick2,winrate_pick3,winrate_pick4,winrate_pick5,count_pick1,count_pick2,count_pick3,count_pick4,count_pick5,kills,deaths,assists,team kpm,ckpm,gspd,gpr,gamelength,firstblood,firstdragon,dragons,elementaldrakes,firstherald,heralds,firstbaron,barons,firsttower,firstmidtower,firsttothreetowers,turretplates,earned gpm,goldat15,goldat20,goldat25,golddiffat15,golddiffat20,golddiffat25,xpdiffat20,xpdiffat25,wardsplaced,visionscore,wardskilled,controlwardsbought,cspm,minionkills,monsterkills,csat15,csdiffat15,csat20,csdiffat20,csat25,csdiffat25,damagetochampions,damagetakenperminute,damagemitigatedperminute
667,23,62,32,35,79,0.625,0.3529411764705882,0.6666666666666666,0.55,0.631578947368421,16.0,34.0,15.0,20.0,19.0,8,17,11,0.29,0.9063,-0.165266,-1.22,1655,1,0,0,0,0,0,0,0,0,0,0,2,989.7281,25649,34051,41383,-514,-2897,-6345,-2468,-6462,124,290,53,37,33.9698,782,155,545,28,722,-3,866,-38,48930,2779.577,2701.4139
1658,9,90,25,81,75,0.5384615384615384,0.5,0.5833333333333334,0.5,0.3333333333333333,13.0,6.0,12.0,6.0,3.0,8,0,22,0.2606,0.2606,0.164062,1.69,1842,1,0,1,1,1,1,1,2,0,1,1,7,1352.0847,26352,35373,47509,1263,2232,7101,2796,7227,99,277,50,38,36.2541,906,207,551,15,751,21,951,56,63862,2785.7329,2389.4463
1850,9,79,41,98,68,0.2142857142857142,0.375,0.0,0.0,0.2,14.0,8.0,3.0,8.0,20.0,12,26,34,0.479,1.517,-0.179152,-2.62,1503,0,1,1,1,0,0,0,0,0,0,0,2,1084.4711,24844,35076,43837,-1335,-5988,-13773,-5795,-12742,74,182,29,31,32.5349,675,140,539,-25,694,-33,815,-66,58221,3740.2794,2542.5549
1026,42,75,62,13,34,0.6428571428571429,0.5555555555555556,0.3333333333333333,0.5,0.75,14.0,9.0,3.0,8.0,4.0,11,23,27,0.3514,1.0863,-0.208795,-1.18,1878,1,1,1,1,0,0,0,0,1,0,0,3,993.2268,24435,32939,41057,-153,-2084,-5326,-3820,-8260,134,284,54,50,31.1182,817,157,531,-28,696,-39,821,-73,50608,3264.0256,3305.5272
315,70,82,49,34,1,0.1818181818181818,0.6666666666666666,0.125,0.5,0.5454545454545454,11.0,24.0,8.0,20.0,11.0,18,18,41,0.3666,0.7332,0.0572932,0.42,2946,0,1,3,3,0,0,1,3,0,0,0,2,1263.8289,23844,32636,43652,-676,-1916,1153,225,4788,183,512,118,73,35.5193,1423,321,555,-17,728,-31,936,-19,114359,3635.1935,3725.336
1541,58,28,36,102,3,0.2307692307692307,0.2,0.4,0.4,0.4285714285714285,13.0,15.0,45.0,20.0,14.0,7,14,21,0.2657,0.797,-0.0920289,-0.95,1581,0,1,3,3,0,0,0,0,0,0,0,2,1011.6129,22972,33006,40359,-1627,6,-5814,1073,-6843,90,211,39,46,33.6243,733,153,543,-15,724,2,871,-17,47128,3579.962,3077.4953
1789,33,17,17,49,90,0.8292682926829268,0.9,0.8484848484848485,0.9411764705882352,1.0,41.0,10.0,33.0,17.0,1.0,20,11,48,0.59,0.9145,0.0283272,0.52,2034,0,1,4,4,0,0,1,1,0,1,0,3,1492.3894,25953,36080,47962,-481,-192,2351,196,4913,119,300,50,44,37.0501,1034,222,534,-37,734,-11,931,2,137301,3665.8702,3768.5251
681,23,79,4,38,68,0.6521739130434783,0.5,0.5714285714285714,0.5,0.7368421052631579,23.0,14.0,7.0,34.0,19.0,11,20,21,0.3791,1.0684,-0.163415,-2.24,1741,1,1,2,2,0,0,0,0,0,0,0,2,977.6795,24990,33833,41482,-1490,-2988,-8457,-265,-5521,111,225,35,43,32.085,788,143,507,-46,710,-67,842,-92,59228,3477.7944,3557.0592
38,70,78,49,90,41,0.5416666666666666,0.6486486486486487,0.5625,0.6666666666666666,0.5,48.0,37.0,16.0,6.0,34.0,14,8,31,0.3681,0.5784,0.057343,-0.15,2282,1,0,3,3,1,1,0,1,0,0,0,6,1254.6889,24306,33284,39980,295,-543,-5121,54,-3317,169,367,69,60,34.5486,1071,243,502,-3,710,30,859,35,78821,2930.929,3697.4145
907,33,0,9,111,14,0.4347826086956521,0.391304347826087,0.4090909090909091,0.4210526315789473,0.1818181818181818,23.0,23.0,22.0,38.0,11.0,5,25,12,0.178,1.0682,-0.296365,-4.18,1685,0,0,0,0,0,0,0,0,0,0,0,2,859.2285,23678,31419,38248,-3146,-7846,-14501,-4937,-13648,81,182,29,36,31.2997,763,116,517,-18,665,-48,805,-120,74037,3809.092,3090.8368
241,70,62,49,103,84,0.8205128205128205,0.7419354838709677,0.7142857142857143,0.5,0.625,39.0,31.0,21.0,4.0,16.0,11,20,24,0.3974,1.1198,-0.127477,-3.96,1661,1,1,1,1,0,0,0,0,0,0,0,3,980.6261,23697,32167,40598,-3470,-6449,-9960,-1626,-10192,0,213,60,37,30.4877,718,126,481,-14,655,-26,779,-52,62629,4233.1969,3443.9133
1330,61,23,93,41,68,0.4375,0.5714285714285714,0.5,0.25,0.3846153846153846,16.0,7.0,4.0,4.0,13.0,24,17,66,0.5689,0.9719,0.0960203,1.33,2531,1,1,4,4,1,1,0,1,1,1,0,5,1335.1245,25343,38067,45807,625,4352,482,3690,-2929,209,474,74,79,32.2165,1086,273,484,-4,697,6,860,11,142813,2783.469,2960.2687
1885,43,79,110,3,2,0.3333333333333333,0.1666666666666666,0.5238095238095238,0.25,0.25,3.0,6.0,21.0,16.0,4.0,3,19,4,0.1297,0.951,-0.292731,-4.18,1388,1,1,1,1,0,0,0,0,0,0,0,0,840.6916,22452,30938,0,-5724,-9997,0,-8588,0,64,139,21,24,31.9452,609,130,491,-85,655,-130,0,0,27259,3548.4726,2278.3141
861,49,48,104,80,61,0.4090909090909091,0.25,0.4375,0.3076923076923077,0.2777777777777778,22.0,4.0,16.0,26.0,18.0,15,9,37,0.3893,0.6228,0.0766232,1.18,2312,0,0,5,4,1,1,1,1,1,0,0,3,1237.4481,25392,33887,42722,1116,990,1941,1625,2406,119,386,75,56,33.3737,1032,254,554,31,750,35,949,66,97162,3901.5571,4434.5502
311,8,35,50,35,30,0.5714285714285714,0.5833333333333334,0.6666666666666666,0.6,0.5,7.0,12.0,6.0,10.0,18.0,20,5,39,1.1111,1.3889,0.340788,7.32,1080,1,1,2,2,1,2,0,0,1,1,1,15,1638.0556,33076,0,0,10969,0,0,0,0,53,116,14,18,32.7222,485,104,496,46,0,0,0,0,41513,2471.5556,1771.3889
1916,71,62,17,3,16,0.5,0.6595744680851063,0.6296296296296297,0.5789473684210527,0.8571428571428571,8.0,47.0,27.0,19.0,7.0,20,13,55,0.6719,1.1086,-0.0579034,0.82,1786,1,1,3,3,1,1,0,0,1,0,0,3,1287.9507,25034,35050,45437,1031,216,342,-65,-1683,87,231,39,30,33.3259,807,185,566,22,745,19,846,27,111428,4730.4255,4896.8197
66,33,87,110,38,9,0.2962962962962963,0.2,0.3103448275862069,0.4,0.391304347826087,27.0,5.0,29.0,30.0,23.0,10,14,26,0.2801,0.6723,-0.0809494,-1.39,2142,0,0,3,3,0,0,0,1,0,0,1,5,1102.9132,22973,31233,39780,450,-2105,-3751,-895,-2458,92,287,74,42,30.0,899,172,488,9,645,-12,777,-22,105902,3627.3109,4051.2325
1039,50,7,45,19,68,0.5,0.65,0.4090909090909091,0.4615384615384615,0.375,10.0,60.0,22.0,13.0,16.0,13,18,16,0.3662,0.8732,0.0604523,1.0,2130,1,0,1,1,1,1,1,1,1,0,0,5,1128.7887,26940,35951,42573,1611,1844,373,1081,-1789,133,324,68,47,31.8873,901,231,538,0,762,42,896,21,55271,2623.7183,2748.5352
568,34,5,9,80,37,0.4,0.2916666666666667,0.2972972972972973,0.3076923076923077,0.1764705882352941,10.0,24.0,37.0,26.0,17.0,10,4,23,0.3102,0.4343,0.0131153,2.37,1934,1,0,4,4,1,2,0,0,1,1,1,8,1202.544,27792,37012,46462,3853,4667,6213,655,2393,120,278,59,48,36.3909,937,236,548,12,769,16,998,53,57797,2472.1923,3162.2234
1688,12,62,9,24,14,0.68,0.5434782608695652,0.7297297297297297,0.4705882352941176,0.6,25.0,46.0,37.0,17.0,5.0,5,15,8,0.1566,0.6263,-0.0969028,-0.9,1916,1,1,2,2,0,0,0,0,0,0,0,1,944.7495,24052,32640,40296,-2145,-3005,-4848,-3440,-3770,119,291,54,53,34.3841,927,171,535,-24,745,-48,908,-64,63122,3258.0376,2476.9729
862,49,4,110,3,53,0.28,0.5833333333333334,0.2941176470588235,0.4285714285714285,0.5,25.0,12.0,34.0,14.0,6.0,14,3,38,0.431,0.5233,0.0714027,1.26,1949,1,0,4,4,0,0,1,1,1,0,1,2,1350.4156,25488,35084,45737,1115,920,3111,1461,5038,131,334,70,54,39.2817,1058,218,565,0,796,11,1001,-1,60899,2886.3725,3165.1308
494,19,62,96,100,68,0.56,0.6595744680851063,0.8333333333333334,0.5,0.375,25.0,47.0,24.0,2.0,16.0,6,22,16,0.1594,0.744,-0.0671034,-0.13,2258,1,1,2,2,1,2,1,1,1,1,1,4,1027.2808,24558,33675,43616,498,4,630,-5002,-1835,153,353,70,58,32.6041,1028,199,540,-9,718,-45,877,-66,61253,2985.1993,3811.5943
1180,42,68,58,80,0,0.2222222222222222,0.2857142857142857,0.2,0.3076923076923077,0.2307692307692307,9.0,7.0,20.0,26.0,13.0,22,15,52,0.5034,0.8467,-0.0185717,-0.16,2622,1,0,1,1,1,1,1,1,0,0,0,2,1219.4737,25067,33752,42495,21,140,598,-243,-952,148,372,77,70,33.4783,1176,287,505,-5,712,4,929,4,119455,3832.4027,4235.0343
1854,49,90,34,111,79,0.25,0.3333333333333333,0.3846153846153846,0.4210526315789473,0.6470588235294118,24.0,6.0,13.0,38.0,17.0,14,3,39,0.3962,0.4811,0.185337,3.09,2120,1,0,4,4,1,1,1,1,1,1,1,6,1381.8113,24988,36262,45381,2240,3961,5836,909,5115,149,347,67,39,39.2264,1069,317,573,35,793,25,1022,87,103254,3153.8774,2622.9906
330,28,88,49,68,52,0.25,0.3103448275862069,0.2,0.1666666666666666,0.5,12.0,29.0,10.0,6.0,10.0,14,7,36,0.5128,0.7692,0.0617103,2.28,1638,1,0,3,3,1,1,1,1,1,1,1,7,1189.7436,26007,35425,44456,4224,3558,5566,4358,8389,103,253,52,33,31.4652,690,169,535,40,680,41,798,50,76820,3113.2967,3682.0879
1858,40,58,92,112,54,0.9166666666666666,0.625,0.7916666666666666,1.0,0.9411764705882352,12.0,16.0,24.0,9.0,17.0,19,5,36,0.6054,0.7647,0.150605,2.09,1883,0,1,3,3,1,1,1,1,1,1,1,8,1411.3224,26410,35456,45621,2238,1995,4108,635,1556,105,289,54,38,36.9623,918,242,547,14,753,18,956,29,106903,3834.9018,2968.6139
548,39,38,57,44,29,1.0,0.6363636363636364,0.6666666666666666,1.0,0.7142857142857143,3.0,22.0,12.0,8.0,14.0,16,10,33,0.6045,0.9824,0.107617,0.73,1588,0,1,2,2,0,0,1,1,1,1,1,3,1266.4987,25596,35539,45724,912,2886,3506,2287,6847,91,235,40,31,31.8892,680,164,532,42,699,64,824,90,61720,2967.2796,1968.0982
806,58,22,104,3,84,0.7916666666666666,0.75,0.7142857142857143,0.8888888888888888,0.625,24.0,4.0,14.0,18.0,16.0,4,14,14,0.146,0.6569,-0.0899249,-1.03,1644,1,0,0,0,1,1,0,0,1,1,0,7,956.8613,24904,33910,41553,680,-1076,-6194,-978,-4017,77,215,37,31,33.5036,744,174,545,19,747,38,866,39,42569,2647.1168,2458.4307
646,7,41,32,39,68,0.5348837209302325,0.8611111111111112,0.65,0.6521739130434783,0.7368421052631579,43.0,36.0,20.0,23.0,19.0,6,18,14,0.221,0.884,-0.0580445,-1.79,1629,0,0,0,0,0,0,0,0,0,1,1,4,981.6943,24077,34228,42389,-2501,-1057,-4675,-408,-6611,96,213,34,41,33.7753,749,168,510,-20,701,18,880,15,49701,3020.3683,3294.9171
370,45,83,99,30,2,0.3461538461538461,0.217391304347826,0.0666666666666666,0.0,0.2,26.0,23.0,15.0,1.0,10.0,5,17,12,0.1856,0.8168,-0.193369,-2.8,1616,0,0,0,0,1,1,0,0,1,0,1,6,904.7525,24367,32930,39331,-1610,-3657,-9860,-5006,-10345,69,198,38,36,28.5149,624,144,469,-36,595,-75,725,-94,43464,3073.3663,2909.5173
368,31,78,57,24,102,0.7,0.1111111111111111,0.75,0.5882352941176471,0.3333333333333333,10.0,9.0,8.0,17.0,3.0,2,13,7,0.0624,0.468,-0.201243,-1.86,1923,0,1,1,1,0,0,0,0,0,0,0,1,872.0749,23201,31461,38669,-698,-1760,-4734,-44,-6496,100,237,51,48,33.6661,900,179,564,8,749,35,910,-3,49668,2300.9672,2252.8237
1231,33,76,64,102,110,0.5714285714285714,0.5,0.6428571428571429,0.8064516129032258,0.5555555555555556,21.0,20.0,14.0,31.0,9.0,0,12,0,0.0,0.4091,-0.289862,-3.53,1760,0,1,1,1,1,1,0,0,0,0,0,2,829.4318,22269,30438,37410,-2331,-3436,-11560,-1069,-9407,108,260,55,42,33.5455,843,141,517,-51,729,-64,853,-123,34660,2449.2614,2731.9773
408,26,83,70,48,1,0.5,0.45,0.4242424242424242,0.5833333333333334,0.6875,8.0,20.0,33.0,12.0,16.0,5,16,8,0.1489,0.6253,-0.0456134,-0.35,2015,1,1,2,2,0,1,0,1,1,1,0,2,1079.0174,24639,32840,40874,471,-1915,-3388,-2986,-6360,149,282,67,46,35.5533,1027,167,561,44,727,-3,909,-16,71150,2942.5608,3245.0918
905,49,37,33,46,14,0.4090909090909091,0.2857142857142857,0.2,1.0,0.4,22.0,7.0,5.0,1.0,5.0,19,9,47,0.5975,0.8805,0.0923077,0.92,1908,1,1,3,3,0,0,1,1,0,0,0,5,1312.2327,25667,34354,46472,547,-1048,3520,239,6662,99,273,71,48,33.5535,867,200,578,58,746,62,882,79,86894,4146.3208,3522.2956
811,52,28,36,2,3,0.3181818181818182,0.2307692307692307,0.4791666666666667,0.0,0.5,44.0,13.0,48.0,4.0,14.0,5,17,10,0.1437,0.6325,-0.1001,-0.3,2087,1,0,1,1,1,1,0,0,1,1,1,5,972.736,25151,32721,41641,239,-770,125,-937,-921,116,294,50,55,33.0618,956,194,571,15,723,18,872,13,55440,3373.7135,3796.0134
112,61,27,52,31,79,0.5652173913043478,0.5,0.8611111111111112,0.0,0.4242424242424242,23.0,34.0,36.0,2.0,33.0,11,18,30,0.2537,0.669,-0.0931852,-3.24,2601,0,1,2,2,1,1,0,1,0,0,0,6,1097.6701,23983,33124,40236,-3081,-2781,-8699,1186,-7374,194,373,86,65,34.3022,1262,225,548,11,709,4,878,-21,115576,3784.4291,4841.4072
520,4,19,53,105,9,0.2916666666666667,0.3333333333333333,0.4,0.0,0.2972972972972973,24.0,12.0,10.0,1.0,37.0,5,15,5,0.1692,0.6768,-0.209636,-1.53,1773,1,0,0,0,0,1,0,0,0,0,0,2,925.3807,24458,32226,39835,266,-1459,-7810,-1445,-9775,93,217,41,40,32.9611,789,185,522,0,682,-40,820,-77,38593,2675.7699,2320.5415
794,49,41,9,106,79,0.28,0.3,0.2777777777777778,0.391304347826087,0.2857142857142857,25.0,20.0,36.0,23.0,28.0,9,1,19,0.2878,0.3198,0.118014,2.02,1876,1,0,3,3,1,2,1,2,0,1,1,2,1242.9851,24371,35025,46591,1020,2978,7456,1770,6060,144,322,53,52,34.1258,867,200,537,0,742,9,888,21,69093,3262.484,3975.8316
915,65,48,62,77,54,0.217391304347826,0.0,0.3,0.3333333333333333,0.1764705882352941,23.0,2.0,10.0,6.0,17.0,9,22,21,0.272,0.937,-0.0801167,-1.11,1985,0,1,1,1,1,1,0,0,0,0,0,5,1034.7506,24393,31928,41079,318,-2307,-1607,-1996,-1053,112,315,67,53,33.7935,899,219,561,-6,730,-14,909,-31,78937,3279.2947,3185.2594
353,70,62,49,38,2,0.1818181818181818,0.3636363636363636,0.125,0.375,0.3,11.0,22.0,8.0,24.0,10.0,2,11,5,0.0753,0.4896,-0.149967,-2.4,1593,0,0,0,0,0,1,0,0,0,0,0,0,843.8795,22484,30665,38587,-2847,-2756,-7172,16,-7875,78,184,35,34,33.6723,736,158,549,4,728,-5,876,8,21763,3230.2072,2570.7721
700,7,27,100,74,40,0.2777777777777778,0.4,0.4,0.2333333333333333,0.5,36.0,45.0,20.0,30.0,6.0,8,18,12,0.3383,1.0994,-0.0788334,-2.27,1419,0,0,0,0,1,1,0,0,1,0,0,6,982.4101,25621,33606,0,-2198,-5927,0,-3745,0,73,170,27,40,32.0507,622,136,479,-64,645,-99,0,0,37247,3130.1903,2562.3679
228,52,20,83,109,38,0.3181818181818182,0.3333333333333333,0.5,0.5454545454545454,0.4285714285714285,44.0,6.0,2.0,11.0,7.0,18,9,43,0.5838,0.8757,0.191227,1.63,1850,1,0,2,2,1,1,1,2,0,1,1,7,1394.5297,24828,35188,47584,883,1752,6908,1661,5821,0,315,69,47,34.7027,875,195,519,-10,712,25,866,53,96911,2725.9459,2836.8
1575,12,49,36,29,79,0.4285714285714285,0.8181818181818182,0.4791666666666667,0.2307692307692307,0.6470588235294118,28.0,11.0,48.0,13.0,17.0,20,4,55,0.6768,0.8122,0.199943,2.9,1773,1,1,4,4,1,1,1,1,0,1,1,3,1433.8748,26963,35711,47524,2871,3720,8232,4428,10333,120,270,50,36,38.0372,885,239,561,23,754,34,954,68,85812,3946.4636,3815.3299
1204,7,62,0,106,79,0.2972972972972973,0.3076923076923077,0.2307692307692307,0.4375,0.45,37.0,26.0,13.0,16.0,20.0,26,19,81,0.7407,1.2821,0.0600252,-0.5,2106,0,1,2,2,1,1,1,1,0,0,0,2,1322.6781,24921,34343,42360,-672,-596,-3048,6,-2433,119,330,71,56,31.7949,884,232,542,30,751,6,886,-8,117085,4084.9858,4350.2849
1504,55,84,37,7,54,0.5,0.5,0.4285714285714285,0.3333333333333333,0.1764705882352941,6.0,12.0,14.0,3.0,17.0,15,5,40,0.469,0.6253,0.0384528,0.0,1919,0,0,2,2,1,1,1,2,0,0,1,2,1279.4476,23844,33024,45092,-1829,-1575,3603,-1361,5572,114,274,72,39,34.6118,886,221,531,-40,741,-28,881,-20,74259,3347.7124,2793.9239
1652,70,13,12,69,54,0.4210526315789473,0.4117647058823529,0.0,0.3684210526315789,0.25,38.0,17.0,1.0,19.0,12.0,11,16,20,0.3392,0.8325,-0.0800305,-1.13,1946,0,0,2,2,0,0,0,0,0,0,0,1,1073.4943,25042,35548,45493,-345,832,1281,2518,3160,137,326,61,41,34.5324,925,195,541,-60,757,-42,966,-37,95480,4258.0267,3947.3895
493,65,54,103,51,30,0.7142857142857143,0.8076923076923077,0.6,0.5,0.9,14.0,26.0,20.0,4.0,10.0,14,6,36,0.4892,0.6989,0.0458396,0.93,1717,1,1,4,4,0,0,1,1,0,0,1,2,1299.802,24988,33907,44158,698,504,2182,1789,4850,78,260,49,28,37.0064,872,187,554,24,779,42,953,81,47140,2633.3955,2256.3774
1219,61,51,45,72,32,0.3636363636363636,0.0,0.25,0.3461538461538461,0.0,22.0,4.0,12.0,26.0,3.0,9,14,21,0.2109,0.5389,0.0515028,1.2,2561,0,1,3,3,1,1,1,1,1,1,1,6,1077.1183,26303,36810,45569,1663,3702,4520,1542,3353,246,513,89,74,33.7368,1185,255,582,45,762,40,963,43,117627,2965.8415,3617.8055
1923,71,62,46,13,29,0.5,0.6595744680851063,0.2222222222222222,0.8823529411764706,0.6666666666666666,8.0,47.0,9.0,17.0,33.0,5,17,8,0.1654,0.6946,-0.0532004,-0.56,1814,0,0,1,1,0,0,1,1,0,0,0,6,1005.9757,25192,33034,41862,-831,-521,-1233,-618,726,89,212,50,36,33.6714,826,192,553,27,729,21,883,18,70043,3533.9802,3423.2745
1535,22,13,52,93,68,0.4791666666666667,0.4117647058823529,0.4347826086956521,0.3809523809523809,0.3125,48.0,17.0,23.0,21.0,16.0,9,20,19,0.2528,0.8146,-0.11773,-1.33,2136,0,0,1,1,0,0,0,0,1,0,0,3,1021.3483,24714,35486,42406,-1010,2961,-1028,4616,-341,101,262,58,38,35.1124,1043,207,563,-13,751,25,915,19,73131,4052.1067,4103.7079
15,70,80,49,102,30,0.2941176470588235,0.0,0.3125,0.4,0.1666666666666666,34.0,2.0,16.0,20.0,6.0,5,11,6,0.1656,0.5298,-0.0295917,-0.17,1812,1,0,1,1,1,1,0,0,0,0,0,2,948.6424,24138,32457,39994,511,-1045,-4134,-429,-5465,109,271,55,57,34.702,892,156,529,0,731,-22,888,-37,57192,3246.9868,3256.4238
889,52,73,70,24,127,0.6595744680851063,0.3333333333333333,0.5,0.6666666666666666,0.4761904761904761,47.0,18.0,20.0,33.0,21.0,0,0,0,0.0,0.0,0.0,0.5,201,0,0,0,0,0,0,0,0,0,0,0,0,574.6269,0,0,0,0,0,0,0,0,3,3,0,0,26.8657,66,24,0,0,0,0,0,0,1591,949.8507,402.3881
1910,7,78,36,81,75,0.5348837209302325,0.6486486486486487,0.5,0.8,0.4444444444444444,43.0,37.0,34.0,5.0,9.0,5,12,12,0.1599,0.5437,-0.0259391,1.14,1876,1,0,1,1,1,1,1,1,1,1,1,7,1007.8145,25763,34398,43155,2279,3201,2296,440,1122,107,258,62,41,31.887,790,207,575,21,740,9,857,-4,57562,3828.4861,4371.3006
1261,70,73,49,110,41,0.5416666666666666,0.6538461538461539,0.5625,0.3333333333333333,0.5,48.0,26.0,16.0,3.0,34.0,4,12,9,0.133,0.5322,-0.205901,-1.94,1804,1,1,2,2,0,0,0,0,0,0,0,6,944.3016,24356,33900,40679,-1139,-2280,-5259,382,-6679,99,246,49,38,34.2239,846,183,545,-16,736,-12,883,-19,55345,3670.5765,4145.3215
1920,7,62,34,24,3,0.65,0.6595744680851063,0.5,0.6666666666666666,0.5789473684210527,60.0,47.0,10.0,33.0,19.0,18,9,37,0.6109,0.9163,0.0789586,2.71,1768,1,0,1,1,1,1,1,1,0,1,1,6,1326.0068,26838,36281,46735,2870,3966,5237,1249,4435,109,248,34,33,34.4457,815,200,507,25,711,30,866,52,71744,3429.7398,3153.2579
1932,5,90,17,10,75,0.6923076923076923,0.8571428571428571,0.8484848484848485,0.875,1.0,13.0,7.0,33.0,8.0,5.0,18,6,57,0.4751,0.6335,0.0958713,1.74,2273,0,1,4,4,1,1,1,2,1,1,1,7,1332.2481,25133,35937,46515,-2,2249,5013,2833,8912,175,443,85,52,35.2134,1013,321,565,21,770,39,927,61,101055,2028.7022,2101.9798
96,5,62,39,76,117,0.3181818181818182,0.3181818181818182,0.2105263157894736,0.25,0.2857142857142857,22.0,44.0,19.0,24.0,7.0,4,20,8,0.1358,0.8149,-0.105809,-1.27,1767,0,0,0,0,1,1,0,0,0,0,0,10,929.4397,24966,33329,40172,-1044,-1144,-3906,96,-3103,114,227,53,51,31.9864,784,158,517,26,703,17,820,-6,67563,3383.4975,3457.2496
640,7,76,26,49,81,0.2972972972972973,0.0,0.3333333333333333,0.2142857142857142,0.0,37.0,8.0,12.0,14.0,1.0,9,17,25,0.299,0.8638,-0.0408049,-0.33,1806,1,1,2,2,1,2,1,1,0,0,0,4,1126.9103,25657,34071,45427,221,-3357,-2390,-4300,-471,119,270,55,53,35.6146,873,199,564,-24,732,-80,912,-63,57570,3064.6179,3064.485
858,23,47,36,8,3,0.4285714285714285,0.4,0.4,0.391304347826087,0.1818181818181818,14.0,15.0,30.0,23.0,11.0,4,19,9,0.1683,0.9677,-0.290453,-3.83,1426,1,0,0,0,0,0,0,0,0,0,0,0,879.0884,23736,31062,0,-3296,-9770,0,-7275,0,67,156,27,28,32.1038,675,88,533,-64,702,-109,0,0,42476,3237.2651,4120.7714
626,4,87,9,44,30,0.5333333333333333,0.3846153846153846,0.56,0.5,0.6666666666666666,15.0,13.0,25.0,2.0,9.0,8,3,18,0.2572,0.3537,0.0729552,0.81,1866,0,1,4,4,0,1,1,2,0,1,1,6,1154.2444,25488,33094,44469,-491,-449,4292,1723,6937,135,309,52,52,32.0579,721,276,560,7,705,3,829,-6,57436,2173.4727,2054.6945
968,65,50,59,53,29,0.6521739130434783,1.0,0.75,0.4545454545454545,0.6666666666666666,23.0,9.0,12.0,11.0,33.0,21,11,60,0.5124,0.7808,0.0531622,2.02,2459,1,1,4,4,0,1,0,1,1,0,1,5,1269.1745,25496,35276,43978,2273,4526,4013,3023,606,167,430,78,61,33.0378,1078,276,536,18,718,28,869,5,135672,2849.6218,3059.2192
1124,5,29,36,69,9,0.7857142857142857,0.75,0.65625,0.631578947368421,0.65,14.0,16.0,32.0,19.0,60.0,17,4,25,0.6786,0.8383,0.186548,2.94,1503,1,1,3,3,1,1,1,1,1,1,1,6,1435.8483,26466,37826,52639,3247,5184,12851,2551,12133,94,212,36,29,37.0459,762,166,553,57,773,78,928,98,64452,2606.3074,3003.0339
698,27,33,5,3,37,0.1666666666666666,0.6,0.1666666666666666,0.4285714285714285,0.125,6.0,5.0,18.0,14.0,16.0,5,21,8,0.2046,1.0641,-0.184651,-3.13,1466,0,1,1,1,0,0,0,0,0,1,0,2,1039.6044,23605,33696,41732,-4301,-4347,-12658,-4095,-15225,83,193,44,33,33.7244,693,131,537,-48,740,-70,824,-115,45883,3609.7408,2966.6439
1061,65,54,52,2,124,0.4375,0.45,0.2777777777777778,0.3333333333333333,0.25,16.0,20.0,18.0,3.0,8.0,11,8,29,0.3317,0.5729,0.0716956,0.53,1990,1,0,3,3,0,0,1,2,0,0,1,5,1336.2211,25143,34388,45314,677,1091,2164,1627,2698,152,347,77,54,36.8744,1018,205,577,-18,793,22,979,33,70972,2769.8894,3157.8995
354,31,45,9,85,53,0.7,0.75,0.3809523809523809,0.0,0.4285714285714285,10.0,8.0,21.0,1.0,7.0,2,14,4,0.0676,0.5405,-0.296514,-4.14,1776,0,1,1,1,0,0,0,0,0,0,0,2,844.3243,22101,29627,37070,-4787,-7140,-11928,-3011,-9899,98,175,26,43,32.2635,818,137,495,-59,673,-93,818,-128,44811,2986.5541,2356.25
491,22,5,20,94,29,0.7962962962962963,0.8064516129032258,0.8,1.0,0.7142857142857143,54.0,31.0,5.0,4.0,14.0,12,7,29,0.3347,0.53,0.0577432,0.41,2151,1,0,2,2,1,1,1,2,0,0,0,3,1266.304,23978,32718,43234,-172,-1015,845,-464,4826,110,332,64,46,35.5649,1001,274,528,-17,747,7,892,20,77759,2633.3333,3701.7852
62,8,15,6,83,48,0.8823529411764706,1.0,0.7857142857142857,1.0,0.5,17.0,4.0,14.0,1.0,16.0,12,3,28,0.4654,0.5818,0.180685,6.5,1547,1,1,4,4,1,2,1,1,1,1,1,14,1381.629,30058,39617,49820,8525,9227,12133,3640,8808,107,236,32,30,34.2081,721,161,507,62,706,84,870,119,61065,2385.0291,1780.8016
409,70,19,49,55,41,0.8205128205128205,0.9,0.7142857142857143,0.8292682926829268,0.7962962962962963,39.0,10.0,21.0,41.0,54.0,16,5,43,0.4764,0.6253,0.0456134,0.35,2015,0,0,2,2,1,1,1,1,0,0,1,5,1277.5385,24168,34755,44262,-471,1915,3388,2986,6360,132,295,80,44,34.5707,945,216,517,-44,730,3,925,16,67811,3092.0397,3776.9926
1422,59,26,91,17,82,0.5454545454545454,0.5,0.5714285714285714,0.6296296296296297,0.6785714285714286,11.0,6.0,7.0,27.0,28.0,13,17,42,0.3653,0.8431,0.0041425,0.99,2135,0,0,4,4,0,0,0,1,0,0,1,4,1142.2482,24466,35198,44541,557,1596,2880,1187,1967,129,265,45,53,32.3466,900,251,583,71,743,66,896,88,109549,2929.3208,3138.829
