,pick1_encoded,pick2_encoded,pick3_encoded,pick4_encoded,pick5_encoded,winrate_pick1,winrate_pick2,winrate_pick3,winrate_pick4,winrate_pick5,count_pick1,count_pick2,count_pick3,count_pick4,count_pick5,kills,deaths,assists,team kpm,ckpm,gspd,gpr,gamelength,firstblood,firstdragon,dragons,elementaldrakes,firstherald,heralds,firstbaron,barons,firsttower,firstmidtower,firsttothreetowers,turretplates,earned gpm,goldat15,goldat20,goldat25,golddiffat15,golddiffat20,golddiffat25,xpdiffat20,xpdiffat25,wardsplaced,visionscore,wardskilled,controlwardsbought,cspm,minionkills,monsterkills,csat15,csdiffat15,csat20,csdiffat20,csat25,csdiffat25,damagetochampions,damagetakenperminute,damagemitigatedperminute
1089,4,42,72,62,41,0.8064516129032258,0.7058823529411765,0.8,1.0,0.7962962962962963,31.0,17.0,20.0,3.0,54.0,20,11,41,0.5854,0.9073,0.00852841,0.62,2050,0,1,4,4,1,1,1,1,1,1,0,1,1243.6683,24854,34842,42825,-781,85,-446,679,-1715,139,355,73,49,33.0732,964,166,552,1,747,10,909,-13,85498,3020.1951,4639.961
1421,70,62,109,8,0,0.4814814814814814,0.3529411764705882,0.3846153846153846,0.56,0.631578947368421,27.0,34.0,13.0,25.0,19.0,12,17,37,0.3282,0.7931,-0.0327367,-1.06,2194,0,1,3,3,0,0,0,0,1,1,0,4,1011.1395,24797,33536,42255,-491,-739,-1047,-567,-2281,130,296,57,62,31.5314,955,198,546,-33,708,-44,836,-56,91616,3216.2352,2881.8323
193,31,45,77,38,19,0.75,0.6428571428571429,0.5961538461538461,0.5,0.631578947368421,20.0,14.0,52.0,34.0,19.0,1,11,1,0.0262,0.3141,-0.0819099,-2.63,2292,0,0,1,1,0,0,0,0,0,0,0,1,952.1728,22650,31344,38898,-2225,-2380,-3173,111,-954,133,320,71,57,32.8272,1058,196,512,-15,709,-24,874,-56,68060,3051.7016,3399.3455
1121,53,21,58,48,0,0.6,0.2307692307692307,0.3125,0.7142857142857143,0.391304347826087,10.0,13.0,16.0,14.0,23.0,21,4,54,0.6294,0.7493,0.233234,2.68,2002,0,1,4,4,0,0,1,2,1,1,1,6,1433.1668,24835,36966,48207,955,5447,9793,5639,10928,114,329,72,44,35.5445,925,261,551,34,745,58,916,82,70576,2914.1359,3867.5724
1878,50,46,31,88,82,0.4375,0.25,0.8333333333333334,0.5714285714285714,0.5757575757575758,16.0,4.0,6.0,7.0,33.0,12,7,32,0.3713,0.5879,0.138834,2.15,1939,1,0,2,2,1,1,1,2,0,1,1,3,1279.6802,24059,33360,44693,313,1145,5029,-67,3210,109,284,57,52,33.8525,892,202,530,43,712,47,863,27,70729,2509.9123,2565.6111
1263,65,62,70,93,0,0.45,0.5961538461538461,0.4242424242424242,0.5714285714285714,0.5238095238095238,20.0,52.0,33.0,14.0,21.0,10,14,21,0.3557,0.818,-0.057045,-1.53,1687,0,0,1,1,0,0,0,0,0,0,0,0,988.8085,24573,33932,42254,-1966,-3462,-2260,-1723,-1621,120,260,51,40,31.6538,719,171,519,-63,693,-70,803,-90,50427,3067.54,2716.396
489,45,79,104,96,60,0.6190476190476191,0.8064516129032258,0.6,0.6923076923076923,0.8571428571428571,21.0,31.0,10.0,13.0,7.0,4,17,10,0.1207,0.6335,-0.120592,-0.63,1989,1,0,1,1,1,1,0,0,1,0,0,6,977.1342,25558,34535,42214,-267,-140,-2052,-578,-2346,140,287,53,56,33.3333,915,190,509,-17,699,6,879,-29,42204,2678.6425,3064.5852
452,11,38,57,24,41,1.0,0.75,0.7692307692307693,0.6666666666666666,0.65625,4.0,28.0,26.0,33.0,32.0,10,1,20,0.3067,0.3374,0.161028,4.06,1956,1,1,5,4,1,2,0,1,1,1,1,8,1385.184,25948,36973,46725,3597,7188,10329,3917,4832,99,287,51,38,37.0245,973,234,543,58,753,97,948,150,62081,2248.1595,2460.7362
716,3,83,70,44,37,0.8571428571428571,0.7142857142857143,0.8076923076923077,1.0,0.8666666666666667,14.0,14.0,26.0,8.0,30.0,12,7,29,0.4121,0.6525,0.127051,0.94,1747,0,0,3,3,1,2,1,1,1,1,1,5,1336.6915,25100,35334,44235,340,880,2590,-167,2143,123,329,75,28,37.5386,885,208,547,18,766,-7,965,21,50048,2355.6611,2056.6571
471,29,82,5,47,36,0.9411764705882352,0.6,0.8064516129032258,0.6666666666666666,0.3333333333333333,17.0,20.0,31.0,9.0,3.0,8,23,18,0.2156,0.8356,-0.101881,-2.31,2226,0,0,0,0,0,0,0,0,0,0,0,6,1025.9569,24684,32442,39709,-1227,-4238,-4050,-649,-414,139,357,65,59,32.7224,1018,196,537,1,698,13,862,29,77679,3179.7035,3665.4178
